fare_id,route_id,origin_id,destination_id,contains_id
3,Z_8196,0,,
3,Z_7695-2,0,,
3,Z_7695,0,,
3,Z_7696-2,0,,
3,Z_7696,0,,
3,Z_5641,0,,
3,Z_5640,0,,
3,Z_5640-2,0,,
3,Z_5641-2,0,,
3,Z_7727,0,,
3,Z_7650,0,,
3,Z_8101,0,,
3,Z_8102,0,,
3,Z_8261,0,,
3,Z_8262,0,,
3,Z_8257-2,0,,
3,Z_8257,0,,
3,Z_8037,0,,
3,Z_7934,0,,
3,Z_5811-2,0,,
3,Z_5811,0,,
3,Z_7681-2,0,,
3,Z_4791-2,0,,
3,Z_4791,0,,
3,Z_7681,0,,
3,Z_7623,0,,
3,Z_7554,0,,
3,Z_7550,0,,
3,Z_6970-2,0,,
3,Z_6970,0,,
3,Z_8154,0,,
3,Z_8154-2,0,,
3,Z_8155,0,,
3,Z_8155-2,0,,
3,Z_8074,0,,
3,Z_8074-2,0,,
3,Z_8242-2,0,,
3,Z_8241,0,,
3,Z_8242,0,,
3,Z_8241-2,0,,
3,Z_5492,0,,
3,Z_5492-2,0,,
3,Z_8151,0,,
3,Z_8150,0,,
3,Z_6542,0,,
3,Z_6542-2,0,,
3,Z_5439-2,0,,
3,Z_5439,0,,
3,Z_5435,0,,
3,Z_5435-2,0,,
3,Z_8192,0,,
3,Z_8192-2,0,,
3,Z_5766,0,,
3,Z_5766-2,0,,
3,Z_5224,0,,
3,Z_5229,0,,
3,Z_5224-2,0,,
3,Z_5229-2,0,,
3,Z_8286,0,,
3,Z_8115,0,,
3,Z_8115-2,0,,
3,Z_4899,0,,
3,Z_4899-2,0,,
3,Z_8061,0,,
3,Z_8088,0,,
3,Z_7761,0,,
3,Z_7884,0,,
3,Z_7883,0,,
3,Z_7882,0,,
3,Z_7094,0,,
3,Z_7094-2,0,,
3,Z_7918,0,,
3,Z_7918-2,0,,
3,Z_7919,0,,
3,Z_7919-2,0,,
3,Z_7011,0,,
3,Z_7011-2,0,,
3,Z_4788-2,0,,
3,Z_4788,0,,
3,Z_5882,0,,
3,Z_5882-2,0,,
3,Z_5261,0,,
3,Z_5024,0,,
3,Z_5261-2,0,,
3,Z_5024-2,0,,
3,Z_6582,0,,
3,Z_6582-2,0,,
3,Z_8007,0,,
3,Z_8007-2,0,,
3,Z_6815,0,,
3,Z_6762,0,,
3,Z_4629,0,,
3,Z_4628,0,,
3,Z_7907-2,0,,
3,Z_7907,0,,
3,Z_7906-2,0,,
3,Z_7906,0,,
3,Z_8208,0,,
3,Z_7684,0,,
3,Z_6873,0,,
3,Z_5578,0,,
3,Z_7557-2,0,,
3,Z_7553,0,,
3,Z_7557,0,,
3,Z_7553-2,0,,
3,Z_6590,0,,
3,Z_6590-2,0,,
3,Z_7729,0,,
3,Z_7729-2,0,,
3,Z_7728-2,0,,
3,Z_7728,0,,
3,Z_6995-2,0,,
3,Z_6995,0,,
3,Z_7463,0,,
3,Z_7463-2,0,,
3,Z_7804,0,,
3,Z_8193,0,,
3,Z_8194,0,,
3,Z_6170-2,0,,
3,Z_6169-2,0,,
3,Z_6169,0,,
3,Z_6170,0,,
3,Z_8105,0,,
3,Z_8105-2,0,,
3,Z_5813-2,0,,
3,Z_5813,0,,
3,Z_7350,0,,
3,Z_6294,0,,
3,Z_8216,0,,
3,Z_8215,0,,
3,Z_8264,0,,
3,Z_8263,0,,
3,Z_8233,0,,
3,Z_7453,0,,
3,Z_5836,0,,
3,Z_5836-2,0,,
3,Z_4509,0,,
3,Z_4509-2,0,,
3,Z_8209,0,,
3,Z_8209-2,0,,
3,Z_8103,0,,
3,Z_8104,0,,
3,Z_8219-2,0,,
3,Z_8219,0,,
3,Z_7738,0,,
3,Z_7651,0,,
3,Z_8030,0,,
3,Z_8031-2,0,,
3,Z_8031,0,,
3,Z_8030-2,0,,
3,Z_5659-2,0,,
3,Z_5659,0,,
3,Z_5658-2,0,,
3,Z_5658,0,,
3,Z_4457-2,0,,
3,Z_4457,0,,
3,Z_8237,0,,
3,Z_8237-2,0,,
3,Z_7089-2,0,,
3,Z_7089,0,,
3,Z_8099,0,,
3,Z_8098,0,,
3,Z_7088-2,0,,
3,Z_7088,0,,
3,Z_7960,0,,
3,Z_5772,0,,
3,Z_7959,0,,
3,Z_7960-2,0,,
3,Z_6191,0,,
3,Z_6191-2,0,,
3,Z_6190-2,0,,
3,Z_6190,0,,
3,Z_5069,0,,
3,Z_5980,0,,
3,Z_5980-2,0,,
3,Z_5440,0,,
3,Z_5440-2,0,,
3,Z_7704-2,0,,
3,Z_7704,0,,
3,Z_6705,0,,
3,Z_6705-2,0,,
3,Z_8285,0,,
3,Z_8285-2,0,,
3,Z_8286-2,0,,
3,Z_7023-2,0,,
3,Z_7024-2,0,,
3,Z_7024,0,,
3,Z_7025-2,0,,
3,Z_7023,0,,
3,Z_7025,0,,
3,Z_7610,0,,
3,Z_6174-2,0,,
3,Z_6174,0,,
3,Z_4992,0,,
3,Z_4994,0,,
3,Z_4993,0,,
3,Z_8109,0,,
3,Z_8108,0,,
3,Z_8108-2,0,,
3,Z_8109-2,0,,
3,Z_7067-2,0,,
3,Z_8043-2,0,,
3,Z_8043-3,0,,
3,Z_8043,0,,
3,Z_7067,0,,
3,Z_8042,0,,
3,Z_7398,0,,
3,Z_7397-2,0,,
3,Z_7397,0,,
3,Z_7398-2,0,,
3,Z_8013,0,,
3,Z_8012,0,,
3,Z_8220,0,,
3,Z_8010,0,,
3,Z_8008,0,,
3,Z_8009,0,,
3,Z_8169,0,,
3,Z_8171,0,,
3,Z_5752,0,,
3,Z_8170,0,,
3,Z_5751,0,,
3,Z_5707,0,,
3,Z_5708,0,,
3,Z_4741,0,,
3,Z_4741-2,0,,
3,Z_6741,0,,
3,Z_6741-2,0,,
3,Z_6260-2,0,,
3,Z_6260,0,,
3,Z_5186,0,,
3,Z_8070,0,,
3,Z_8071,0,,
3,Z_6012-2,0,,
3,Z_6012,0,,
3,Z_8162,0,,
3,Z_8161,0,,
3,Z_8163,0,,
3,Z_6136,0,,
3,Z_6136-2,0,,
